Date,Open,High,Low,Close,Inflasi,Kurs,M2,Vix Open,Vix High,Vix Low,Vix Close,ROE,NPM,PER,Sentiment_Perang,Sentiment_Resesi,Sentiment_BBM
11/10/2021,1040,1040,1020,1030,1.72,14253,7667862.202,19.93,20.450001,18.110001,20,0.621297666,0.056040272,37.04007367,0.979719543,0.979719543,0.979719543
11/11/2021,1030,1030,1015,1025,1.724285714,14288,7681368.245,18.34,18.389999,17.27,17.66,0.625466613,0.056136144,36.7780954,0.678491557,0.678491557,0.678491557
11/14/2021,1025,1030,1015,1020,1.728571429,14247,7694874.289,17.6850005,17.924999,16.88,17.075,0.62963556,0.056232017,36.51611713,0.988391197,0.988391197,0.988391197
11/15/2021,1020,1040,1015,1030,1.732857143,14206,7708380.332,17.030001,17.459999,16.49,16.49,0.633804507,0.056327889,36.25413885,0.725533509,0.725533509,0.725533509
11/16/2021,1030,1030,1015,1015,1.737142857,14211,7721886.375,16.860001,17.08,16.030001,16.370001,0.637973454,0.056423762,35.99216058,0.904711878,0.904711878,0.904711878
11/17/2021,1015,1020,995,1010,1.741428571,14259,7735392.418,16.360001,17.190001,16.280001,17.110001,0.642142401,0.056519634,35.73018231,0.963344355,0.963344355,0.963344355
11/18/2021,1010,1020,1005,1015,1.745714286,14231,7748898.461,16.809999,18.15,16.379999,17.59,0.646311348,0.056615507,35.46820404,0.937957048,0.937957048,0.937957048
11/21/2021,1015,1025,1010,1015,1.75,14243,7762404.505,17.505,18.87,16.8649995,18.38,0.650480295,0.056711379,35.20622577,0.857690024,0.857690024,0.857690024
11/22/2021,1015,1015,1005,1005,1.755454545,14255,7775910.548,18.200001,19.59,17.35,19.17,0.654649242,0.056807252,34.9442475,0.779354733,0.779354733,0.779354733
11/23/2021,1005,1015,1000,1010,1.760909091,14272,7789416.591,20.24,20.91,19.030001,19.379999,0.658818189,0.056903124,34.68226922,0.968853939,0.968853939,0.968853939
11/24/2021,1010,1045,1010,1045,1.766363636,14272,7802922.634,19.17,20.959999,18.52,18.58,0.662987136,0.056998997,34.42029095,0.869853395,0.869853395,0.869853395
11/25/2021,1045,1065,1040,1040,1.771818182,14280,7816428.677,21.21666633,22.53666633,19.583333,20.03999967,0.667156083,0.057094869,34.15831268,0.890343463,0.890343463,0.890343463
11/28/2021,1040,1050,1025,1050,1.777272727,14310,7829934.72,23.26333267,24.11333367,20.646666,21.49999933,0.67132503,0.057190742,33.89633441,0.968370587,0.968370587,0.968370587
11/29/2021,1050,1090,1050,1090,1.782727273,14340,7843440.764,25.309999,25.690001,21.709999,22.959999,0.675493977,0.057286614,33.63435614,0.916238093,0.916238093,0.916238093
11/30/2021,1090,1090,1070,1075,1.788181818,14320,7856946.807,26.23,28.559999,23.709999,27.190001,0.679662924,0.057382487,33.37237786,0.905601966,0.905601966,0.905601966
12/1/2021,1075,1090,1065,1065,1.793636364,14353,7870452.85,23.49,25.15,22.83,23.33,0.683831871,0.057478359,33.11039959,0.81547905,0.81547905,0.81547905
12/2/2021,1065,1075,1050,1065,1.799090909,14378,7866159.556,21.6,22.450001,19.950001,19.969999,0.688000818,0.057574232,32.84842132,0.987282944,0.987282944,0.987282944
12/5/2021,1065,1070,1045,1070,1.804545455,14409.5,7861866.262,22.42,28.379999,21.66,27.59,0.692169765,0.057670104,32.58644305,0.996188283,0.996188283,0.996188283
12/6/2021,1070,1085,1065,1075,1.81,14441,7857572.968,19.635,22.9499995,18.8999995,21.88,0.696338712,0.057765977,32.32446478,0.912765396,0.912765396,0.912765396
12/7/2021,1075,1100,1075,1080,1.815454545,14408,7853279.674,16.85,17.52,16.139999,16.17,0.700507659,0.057861849,32.0624865,0.957981149,0.957981149,0.957981149
12/8/2021,1080,1105,1080,1090,1.820909091,14348,7848986.38,16.33,16.42,15.49,15.59,0.704676606,0.057957722,31.80050823,0.993313062,0.993313062,0.993313062
12/9/2021,1090,1105,1085,1090,1.826363636,14351,7844693.086,17.316667,18.00666667,16.64666633,17.163333,0.708845553,0.058053594,31.53852996,0.923742851,0.923742851,0.923742851
12/12/2021,1090,1120,1090,1105,1.831818182,14348.5,7840399.792,18.303334,19.59333333,17.80333267,18.736666,0.7130145,0.058149467,31.27655169,0.911682332,0.911682332,0.911682332
12/13/2021,1105,1125,1100,1100,1.837272727,14346,7836106.498,19.290001,21.18,18.959999,20.309999,0.717183447,0.058245339,31.01457342,0.815752971,0.815752971,0.815752971
12/14/2021,1100,1110,1095,1100,1.842727273,14348,7831813.204,19.67,23,19.67,21.889999,0.721352394,0.058341212,30.75259514,0.900930449,0.900930449,0.900930449
12/15/2021,1100,1105,1075,1085,1.848181818,14337,7827519.91,21.6,23.469999,19.02,19.290001,0.725521341,0.058437084,30.49061687,0.927715826,0.927715826,0.927715826
12/16/2021,1085,1115,1080,1090,1.853636364,14343,7823226.615,18.559999,22.129999,18.190001,20.57,0.729690288,0.058532957,30.2286386,0.912740648,0.912740648,0.912740648
12/19/2021,1090,1090,1070,1090,1.859090909,14363.5,7818933.321,22.224999,24.759999,20.5200005,21.7200005,0.733859235,0.058628829,29.96666033,0.838091493,0.838091493,0.838091493
12/20/2021,1090,1110,1080,1110,1.864545455,14384,7814640.027,25.889999,27.389999,22.85,22.870001,0.738028182,0.058724702,29.70468206,0.892293632,0.892293632,0.892293632
12/21/2021,1110,1140,1110,1115,1.87,14349,7810346.733,22.280001,22.68,20.9,21.01,0.742197129,0.058820574,29.44270378,0.974225187,0.974225187,0.974225187
12/22/2021,1115,1125,1095,1115,1.87452381,14264,7806053.439,21.040001,21.360001,18.59,18.629999,0.746366076,0.058916447,29.18072551,0.89041431,0.89041431,0.89041431
12/23/2021,1115,1125,1105,1120,1.879047619,14251,7801760.145,18.809999,18.93,17.620001,17.959999,0.750535023,0.059012319,28.91874724,0.73168962,0.73168962,0.73168962
12/26/2021,1120,1140,1115,1125,1.883571429,14238,7797466.851,19.09,19.17,17.585,17.8199995,0.75470397,0.059108192,28.65676897,0.689038903,0.689038903,0.689038903
12/27/2021,1125,1145,1120,1135,1.888095238,14225,7793173.557,19.370001,19.41,17.549999,17.68,0.758872917,0.059204064,28.3947907,0.994910741,0.994910741,0.994910741
12/28/2021,1135,1140,1115,1115,1.892619048,14237,7788880.263,17.780001,18.469999,17.51,17.540001,0.763041864,0.059299937,28.13281243,0.946158123,0.946158123,0.946158123
12/29/2021,1115,1115,1090,1115,1.897142857,14265,7784586.969,17.629999,18,16.709999,16.950001,0.767210811,0.059395809,27.87083415,0.978724718,0.978724718,0.978724718
1/2/2022,1115,1140,1110,1130,1.901666667,14267.5,7780293.675,24.57,25.33,21.959999,21.959999,0.771379758,0.059491682,27.60885588,0.93162607,0.93162607,0.93162607
1/3/2022,1130,1135,1110,1115,1.906190476,14270,7776000.381,29.450001,35.189999,29.440001,33.32,0.775548705,0.059587554,27.34687761,0.993336642,0.993336642,0.993336642
1/4/2022,1115,1115,1090,1100,1.910714286,14310,7771707.087,20.620001,20.860001,19.41,19.629999,0.779717651,0.059683427,27.08489934,0.851374567,0.851374567,0.851374567
1/5/2022,1100,1105,1070,1070,1.915238095,14365,7767413.793,23.335,24.2950005,22.3949995,22.66,0.783886598,0.059779299,26.82292107,0.917732608,0.917732608,0.917732608
1/6/2022,1070,1080,1065,1075,1.919761905,14396,7763120.499,26.049999,27.73,25.379999,25.690001,0.788055545,0.059875172,26.56094279,0.878444093,0.878444093,0.878444093
1/9/2022,1075,1085,1065,1065,1.924285714,14359.5,7758827.205,26.879999,27.450001,25.25,25.559999,0.792224492,0.059971044,26.29896452,0.953739321,0.953739321,0.953739321
1/10/2022,1065,1075,1055,1065,1.928809524,14323,7754533.911,24.674999,25.740001,23.30000025,24.247499,0.796393439,0.060066917,26.03698625,0.918515241,0.918515241,0.918515241
1/11/2022,1065,1095,1065,1080,1.933333333,14299,7750240.617,22.469999,24.030001,21.3500005,22.934999,0.800562386,0.060162789,25.77500798,0.846223876,0.846223876,0.846223876
1/12/2022,1080,1090,1070,1085,1.937857143,14302,7745947.323,20.264999,22.320001,19.40000075,21.622499,0.804731333,0.060258662,25.51302971,0.890017629,0.890017629,0.890017629
1/13/2022,1085,1110,1080,1100,1.942380952,14311,7741654.029,18.059999,20.610001,17.450001,20.309999,0.80890028,0.060354535,25.25105143,0.879521394,0.879521394,0.879521394
1/16/2022,1145,1145,1080,1085,1.946904762,14317,7737360.735,19.09999933,21.47333433,18.693334,21.13666633,0.813069227,0.060450407,24.98907316,0.829277354,0.829277354,0.829277354
1/17/2022,1085,1085,1065,1065,1.951428571,14323,7733067.44,20.13999967,22.33666767,19.936667,21.96333367,0.817238174,0.06054628,24.72709489,0.979522809,0.979522809,0.979522809
1/18/2022,1065,1070,1045,1055,1.955952381,14325,7728774.146,21.18,23.200001,21.18,22.790001,0.821407121,0.060642152,24.46511662,0.755590916,0.755590916,0.755590916
1/19/2022,1055,1065,1050,1060,1.96047619,14370,7724480.852,23.120001,23.99,21.85,23.85,0.825576068,0.060738025,24.20313835,0.868277788,0.868277788,0.868277788
1/20/2022,1060,1070,1055,1060,1.965,14354,7720187.558,23.459999,25.889999,21.68,25.59,0.829745015,0.060833897,23.94116007,0.930274999,0.930274999,0.930274999
1/23/2022,1060,1060,1050,1055,1.96952381,14340.5,7715894.264,25.83,32.414999,24.85,27.745,0.833913962,0.06092977,23.6791818,0.815422833,0.815422833,0.815422833
1/24/2022,1055,1055,1040,1045,1.974047619,14327,7711600.97,28.200001,38.939999,28.02,29.9,0.838082909,0.061025642,23.41720353,0.989005291,0.989005291,0.989005291
1/25/2022,1045,1045,1030,1045,1.978571429,14358,7707307.676,32.290001,35.849998,29.129999,31.16,0.842251856,0.061121515,23.15522526,0.837153494,0.837153494,0.837153494
1/26/2022,1045,1055,1035,1045,1.983095238,14346,7703014.382,29.35,33.040001,26.9,31.959999,0.846420803,0.061217387,22.89324699,0.873001349,0.873001349,0.873001349
1/27/2022,1045,1070,1045,1060,1.987619048,14385,7698721.088,32.189999,33,28.42,30.49,0.85058975,0.06131326,22.63126871,0.835606563,0.835606563,0.835606563
1/30/2022,1060,1070,1050,1055,1.992142857,14372.33333,7694427.794,28.64666567,29.57666667,25.76666633,27.69,0.854758697,0.061409132,22.36929044,0.874159947,0.874159947,0.874159947
2/1/2022,1055,1070,1050,1070,1.996666667,14359.66667,7690134.5,25.10333233,26.15333333,23.11333267,24.89,0.858927644,0.061505005,22.10731217,0.950980127,0.950980127,0.950980127
2/2/2022,1070,1080,1060,1065,2.001190476,14347,7696493.175,21.559999,22.73,20.459999,22.09,0.863096591,0.061600877,21.8453339,0.97729578,0.97729578,0.97729578
2/3/2022,1065,1075,1060,1070,2.005714286,14381,7702851.849,34.200001,34.41,30.120001,30.74,0.867265538,0.06169675,21.58335563,0.894788718,0.894788718,0.894788718
2/6/2022,1070,1100,1065,1100,2.010238095,14392.5,7709210.524,25.73,26.5,24.33,24.719999,0.871434485,0.061792622,21.32137735,0.786621258,0.786621258,0.786621258
2/7/2022,1100,1135,1100,1120,2.014761905,14404,7715569.199,24.905,25.59,23.5,24.3249995,0.875603432,0.061888495,21.05939908,0.926504254,0.926504254,0.926504254
2/8/2022,1120,1140,1115,1130,2.019285714,14385,7721927.874,24.08,24.68,22.67,23.93,0.879772379,0.061984367,20.79742081,0.912508035,0.912508035,0.912508035
2/9/2022,1130,1135,1110,1125,2.023809524,14366,7728286.548,25.51,26.280001,23.190001,25.469999,0.883941326,0.06208024,20.53544254,0.993462288,0.993462288,0.993462288
2/10/2022,1125,1145,1120,1135,2.028333333,14344,7734645.223,26.73,28.200001,24.903334,26.42333267,0.888110273,0.062176112,20.27346427,0.993180978,0.993180978,0.993180978
2/13/2022,1135,1150,1130,1130,2.032857143,14341,7741003.898,27.95,30.120001,26.616667,27.37666633,0.89227922,0.062271985,20.011486,0.967375994,0.967375994,0.967375994
2/14/2022,1130,1175,1130,1160,2.037380952,14338,7747362.573,29.17,32.040001,28.33,28.33,0.896448167,0.062367857,19.74950772,0.835570979,0.835570979,0.835570979
2/15/2022,1160,1185,1155,1175,2.041904762,14292,7753721.247,28.09,28.09,25.33,25.700001,0.900617114,0.06246373,19.48752945,0.903958571,0.903958571,0.903958571
